,Diagnosis,Drug,Age,Ethnicity,Gender,Count
3654,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,55 to 64 years,WHITE,F,8
3655,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,55 to 64 years,WHITE,M,52
3656,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,65 to 74 years,ASIAN,F,8
3657,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,65 to 74 years,BLACK,M,3
3658,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,65 to 74 years,OTHERS,F,1
3659,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,65 to 74 years,OTHERS,M,3
3660,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,65 to 74 years,WHITE,F,5
3661,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,65 to 74 years,WHITE,M,14
3662,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,75 to 84 years,ASIAN,M,7
3663,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,75 to 84 years,BLACK,M,2
3664,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,75 to 84 years,OTHERS,M,3
3665,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,75 to 84 years,WHITE,F,17
3666,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,75 to 84 years,WHITE,M,14
3667,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,85 years and older,ASIAN,F,3
3668,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,85 years and older,ASIAN,M,1
3669,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,85 years and older,BLACK,F,19
3670,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,85 years and older,BLACK,M,5
3671,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,85 years and older,HISPANIC OR LATINO,F,8
3672,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,85 years and older,HISPANIC OR LATINO,M,3
3673,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,85 years and older,OTHERS,F,17
3674,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,85 years and older,OTHERS,M,29
3675,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,85 years and older,WHITE,F,143
3676,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Iso-Osmotic Dextrose,85 years and older,WHITE,M,196
3677,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,15 to 24 years,HISPANIC OR LATINO,M,5
3678,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,15 to 24 years,OTHERS,M,2
3679,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,15 to 24 years,WHITE,M,8
3680,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,25 to 34 years,BLACK,M,4
3681,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,25 to 34 years,OTHERS,M,3
3682,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,25 to 34 years,WHITE,F,3
3683,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,25 to 34 years,WHITE,M,8
3684,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,35 to 44 years,BLACK,F,1
3685,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,35 to 44 years,HISPANIC OR LATINO,F,2
3686,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,35 to 44 years,WHITE,F,11
3687,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,35 to 44 years,WHITE,M,20
3688,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,45 to 54 years,BLACK,F,3
3689,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,45 to 54 years,HISPANIC OR LATINO,M,2
3690,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,45 to 54 years,OTHERS,M,16
3691,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,45 to 54 years,WHITE,F,18
3692,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,45 to 54 years,WHITE,M,32
3693,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,55 to 64 years,ASIAN,M,6
3694,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,55 to 64 years,BLACK,M,1
3695,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,55 to 64 years,HISPANIC OR LATINO,M,1
3696,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,55 to 64 years,OTHERS,F,3
3697,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,55 to 64 years,OTHERS,M,2
3698,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,55 to 64 years,WHITE,F,15
3699,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,55 to 64 years,WHITE,M,28
3700,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,65 to 74 years,ASIAN,F,1
3701,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,65 to 74 years,BLACK,M,5
3702,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,65 to 74 years,OTHERS,M,11
3703,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,65 to 74 years,WHITE,F,14
3704,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,65 to 74 years,WHITE,M,19
3705,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,75 to 84 years,BLACK,M,7
3706,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,75 to 84 years,OTHERS,M,1
3707,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,75 to 84 years,WHITE,F,24
3708,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,75 to 84 years,WHITE,M,15
3709,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,85 years and older,ASIAN,M,3
3710,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,85 years and older,BLACK,F,38
3711,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,85 years and older,BLACK,M,17
3712,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,85 years and older,HISPANIC OR LATINO,F,10
3713,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,85 years and older,HISPANIC OR LATINO,M,2
3714,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,85 years and older,OTHERS,F,8
3715,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,85 years and older,OTHERS,M,32
3716,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,85 years and older,WHITE,F,224
3717,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,LeVETiracetam,85 years and older,WHITE,M,272
3718,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,15 to 24 years,HISPANIC OR LATINO,M,3
3719,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,15 to 24 years,OTHERS,F,1
3720,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,15 to 24 years,OTHERS,M,1
3721,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,15 to 24 years,WHITE,M,6
3722,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,25 to 34 years,BLACK,M,1
3723,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,25 to 34 years,OTHERS,F,1
3724,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,25 to 34 years,OTHERS,M,2
3725,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,25 to 34 years,WHITE,F,4
3726,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,25 to 34 years,WHITE,M,4
3727,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,35 to 44 years,BLACK,F,1
3728,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,35 to 44 years,OTHERS,M,1
3729,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,35 to 44 years,WHITE,F,3
3730,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,35 to 44 years,WHITE,M,3
3731,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,45 to 54 years,BLACK,F,3
3732,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,45 to 54 years,HISPANIC OR LATINO,F,1
3733,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,45 to 54 years,OTHERS,M,2
3734,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,45 to 54 years,WHITE,F,15
3735,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,45 to 54 years,WHITE,M,7
3736,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,55 to 64 years,ASIAN,M,1
3737,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,55 to 64 years,BLACK,M,4
3738,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,55 to 64 years,HISPANIC OR LATINO,M,1
3739,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,55 to 64 years,OTHERS,F,6
3740,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,55 to 64 years,WHITE,F,8
3741,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,55 to 64 years,WHITE,M,39
3742,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,65 to 74 years,ASIAN,F,1
3743,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,65 to 74 years,BLACK,F,1
3744,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,65 to 74 years,OTHERS,M,3
3745,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,65 to 74 years,WHITE,F,17
3746,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,65 to 74 years,WHITE,M,9
3747,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,75 to 84 years,BLACK,M,2
3748,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,75 to 84 years,OTHERS,F,3
3749,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,75 to 84 years,OTHERS,M,3
3750,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,75 to 84 years,WHITE,F,16
3751,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,75 to 84 years,WHITE,M,5
3752,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,85 years and older,ASIAN,F,2
3753,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,85 years and older,ASIAN,M,3
3754,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,85 years and older,BLACK,F,25
3755,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,85 years and older,BLACK,M,9
3756,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,85 years and older,HISPANIC OR LATINO,F,9
3757,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,85 years and older,HISPANIC OR LATINO,M,2
3758,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,85 years and older,OTHERS,F,10
3759,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,85 years and older,OTHERS,M,15
3760,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,85 years and older,WHITE,F,117
3761,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Magnesium Sulfate,85 years and older,WHITE,M,140
3762,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,15 to 24 years,OTHERS,M,1
3763,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,15 to 24 years,WHITE,M,2
3764,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,25 to 34 years,BLACK,M,7
3765,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,25 to 34 years,WHITE,F,3
3766,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,25 to 34 years,WHITE,M,4
3767,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,35 to 44 years,WHITE,F,11
3768,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,35 to 44 years,WHITE,M,5
3769,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,45 to 54 years,BLACK,F,7
3770,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,45 to 54 years,OTHERS,M,5
3771,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,45 to 54 years,WHITE,F,3
3772,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,45 to 54 years,WHITE,M,14
3773,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,55 to 64 years,ASIAN,M,1
3774,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,55 to 64 years,BLACK,M,3
3775,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,55 to 64 years,HISPANIC OR LATINO,M,3
3776,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,55 to 64 years,OTHERS,M,1
3777,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,55 to 64 years,WHITE,F,10
3778,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,55 to 64 years,WHITE,M,65
3779,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,65 to 74 years,ASIAN,F,4
3780,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,65 to 74 years,BLACK,M,2
3781,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,65 to 74 years,OTHERS,M,11
3782,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,65 to 74 years,WHITE,F,33
3783,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,65 to 74 years,WHITE,M,15
3784,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,75 to 84 years,ASIAN,M,6
3785,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,75 to 84 years,BLACK,M,6
3786,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,75 to 84 years,OTHERS,F,4
3787,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,75 to 84 years,OTHERS,M,14
3788,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,75 to 84 years,WHITE,F,25
3789,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,75 to 84 years,WHITE,M,10
3790,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,85 years and older,ASIAN,M,8
3791,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,85 years and older,BLACK,F,54
3792,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,85 years and older,BLACK,M,18
3793,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,85 years and older,HISPANIC OR LATINO,F,10
3794,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,85 years and older,HISPANIC OR LATINO,M,5
3795,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,85 years and older,OTHERS,F,19
3796,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,85 years and older,OTHERS,M,52
3797,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,85 years and older,WHITE,F,115
3798,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Metoprolol Tartrate,85 years and older,WHITE,M,274
3799,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,15 to 24 years,WHITE,M,2
3800,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,25 to 34 years,WHITE,F,7
3801,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,35 to 44 years,WHITE,F,9
3802,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,35 to 44 years,WHITE,M,10
3803,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,45 to 54 years,HISPANIC OR LATINO,F,6
3804,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,45 to 54 years,HISPANIC OR LATINO,M,1
3805,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,45 to 54 years,WHITE,F,9
3806,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,45 to 54 years,WHITE,M,27
3807,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,55 to 64 years,ASIAN,M,9
3808,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,55 to 64 years,BLACK,M,1
3809,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,55 to 64 years,WHITE,F,12
3810,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,55 to 64 years,WHITE,M,22
3811,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,65 to 74 years,ASIAN,F,1
3812,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,65 to 74 years,WHITE,F,6
3813,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,65 to 74 years,WHITE,M,2
3814,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,75 to 84 years,WHITE,F,22
3815,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,75 to 84 years,WHITE,M,5
3816,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,85 years and older,ASIAN,M,2
3817,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,85 years and older,BLACK,F,1
3818,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,85 years and older,BLACK,M,4
3819,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,85 years and older,HISPANIC OR LATINO,M,3
3820,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,85 years and older,OTHERS,F,15
3821,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,85 years and older,WHITE,F,105
3822,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,NS,85 years and older,WHITE,M,181
3823,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,15 to 24 years,WHITE,M,1
3824,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,25 to 34 years,BLACK,M,1
3825,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,25 to 34 years,OTHERS,F,1
3826,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,25 to 34 years,OTHERS,M,1
3827,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,25 to 34 years,WHITE,F,3
3828,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,25 to 34 years,WHITE,M,3
3829,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,35 to 44 years,HISPANIC OR LATINO,F,1
3830,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,35 to 44 years,OTHERS,M,1
3831,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,35 to 44 years,WHITE,F,5
3832,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,35 to 44 years,WHITE,M,8
3833,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,45 to 54 years,BLACK,F,3
3834,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,45 to 54 years,HISPANIC OR LATINO,F,1
3835,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,45 to 54 years,HISPANIC OR LATINO,M,3
3836,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,45 to 54 years,OTHERS,M,3
3837,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,45 to 54 years,WHITE,F,8
3838,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,45 to 54 years,WHITE,M,13
3839,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,55 to 64 years,HISPANIC OR LATINO,M,1
3840,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,55 to 64 years,OTHERS,F,1
3841,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,55 to 64 years,WHITE,F,9
3842,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,55 to 64 years,WHITE,M,19
3843,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,65 to 74 years,ASIAN,F,2
3844,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,65 to 74 years,ASIAN,M,1
3845,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,65 to 74 years,BLACK,M,2
3846,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,65 to 74 years,OTHERS,F,1
3847,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,Pantoprazole,65 to 74 years,WHITE,F,9
